"74","257","1","realm/realm-library/src/main/java/io/realm/RealmQuery.java","257","2","realm/realm-library/src/main/java/io/realm/RealmQuery.java","58","469","3"
"75","314","3","realm/realm-library/src/main/java/io/realm/RealmQuery.java","300","3","realm/realm-library/src/main/java/io/realm/RealmQuery.java","58","469","3"
"76","12","1","src/main/java/junit/runner/Version.java","12","1","src/main/java/junit/runner/Version.java","59","472","1"
"77","810","3","realm/realm-library/src/main/java/io/realm/RealmQuery.java","742","3","realm/realm-library/src/main/java/io/realm/RealmQuery.java","58","469","3"
"78","1660","3","realm/realm-library/src/main/java/io/realm/RealmQuery.java","1480","3","realm/realm-library/src/main/java/io/realm/RealmQuery.java","58","469","3"
"79","1719","3","realm/realm-library/src/main/java/io/realm/RealmQuery.java","1512","3","realm/realm-library/src/main/java/io/realm/RealmQuery.java","58","469","3"
"80","12","1","src/main/java/junit/runner/Version.java","12","1","src/main/java/junit/runner/Version.java","60","474","1"
"81","1778","3","realm/realm-library/src/main/java/io/realm/RealmQuery.java","1544","3","realm/realm-library/src/main/java/io/realm/RealmQuery.java","58","469","3"
"82","355","24","src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java","357","0","src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java","61","474","1"
"83","1853","3","realm/realm-library/src/main/java/io/realm/RealmQuery.java","1584","3","realm/realm-library/src/main/java/io/realm/RealmQuery.java","58","469","3"
"84","39","2","src/main/java/org/junit/runner/manipulation/Filter.java","43","3","src/main/java/org/junit/runner/manipulation/Filter.java","62","489","1"
"85","24","28","src/main/java/junit/framework/JUnit4TestAdapterCache.java","25","40","src/main/java/junit/framework/JUnit4TestAdapterCache.java","63","489","1"
"86","61","14","src/main/java/junit/framework/JUnit4TestAdapterCache.java","74","12","src/main/java/junit/framework/JUnit4TestAdapterCache.java","63","489","1"
"87","79","13","src/main/java/junit/framework/JUnit4TestAdapterCache.java","90","0","src/main/java/junit/framework/JUnit4TestAdapterCache.java","63","489","1"
"88","49","2","src/main/java/org/junit/runners/ParentRunner.java","49","1","src/main/java/org/junit/runners/ParentRunner.java","64","489","1"
"89","197","2","src/main/java/org/junit/runners/ParentRunner.java","195","1","src/main/java/org/junit/runners/ParentRunner.java","64","489","1"
"90","294","2","src/main/java/org/junit/runners/ParentRunner.java","291","1","src/main/java/org/junit/runners/ParentRunner.java","64","489","1"
"91","6","28","src/main/java/org/junit/runner/Plan.java","6","21","src/main/java/org/junit/runner/Plan.java","65","489","1"
"92","40","1","src/main/java/org/junit/runner/Runner.java","40","1","src/main/java/org/junit/runner/Runner.java","66","489","1"
"93","97","2","src/main/java/org/junit/experimental/categories/Categories.java","97","5","src/main/java/org/junit/experimental/categories/Categories.java","67","489","1"
"94","101","1","src/main/java/org/junit/experimental/categories/Categories.java","104","10","src/main/java/org/junit/experimental/categories/Categories.java","67","489","1"
"95","123","3","src/main/java/org/junit/experimental/categories/Categories.java","131","2","src/main/java/org/junit/experimental/categories/Categories.java","67","489","1"
"96","160","4","src/main/java/org/junit/experimental/max/MaxCore.java","159","5","src/main/java/org/junit/experimental/max/MaxCore.java","68","489","1"
"97","168","1","src/main/java/org/junit/experimental/max/MaxCore.java","168","1","src/main/java/org/junit/experimental/max/MaxCore.java","68","489","1"
"98","12","0","src/test/java/org/junit/tests/junit3compatibility/SuiteMethodTest.java","12","3","src/test/java/org/junit/tests/junit3compatibility/SuiteMethodTest.java","69","489","1"
"99","66","5","src/test/java/org/junit/tests/junit3compatibility/SuiteMethodTest.java","72","12","src/test/java/org/junit/tests/junit3compatibility/SuiteMethodTest.java","69","489","1"
"100","12","1","src/test/java/org/junit/tests/running/classes/TestClassTest.java","11","2","src/test/java/org/junit/tests/running/classes/TestClassTest.java","70","506","1"
