id;commit_hash;file;heuristic;refactoring_type;is_floss;project
40;936a2921282bf171b06c3c77450e93c78c6beb7d;core/src/main/java/com/google/errorprone/bugpatterns/BugChecker.java;true positive;none;not_floss;error-prone
41;6f83c0839dd0343f229406d4222d8c5bea768c47;core/src/main/java/com/google/errorprone/ErrorProneScanner.java;true positive;none;not_floss;error-prone
42;a55753d55f1c7f517bb977441785ff84cb4b9a04;core/src/test/java/com/google/errorprone/bugpatterns/ArrayEqualsTest.java;true positive;none;not_floss;error-prone
43;a55753d55f1c7f517bb977441785ff84cb4b9a04;core/src/test/java/com/google/errorprone/bugpatterns/ArrayToStringTest.java;true positive;none;not_floss;error-prone
44;a55753d55f1c7f517bb977441785ff84cb4b9a04;core/src/test/java/com/google/errorprone/bugpatterns/SelfAssignmentTest.java;true positive;none;not_floss;error-prone
45;f10f48c87d828881dda9912f050bccf8bb36776c;core/src/main/java/com/google/errorprone/ErrorProneScanner.java;formatting conflict;none;not_floss;error-prone
46;d51253011690def06db835d5ad605ca134c94d84;core/src/main/java/com/google/errorprone/ErrorProneScanner.java;formatting conflict;none;not_floss;error-prone
47;d017a5411de869929dd03efc6c952aa708a9bd2a;core/src/main/java/com/google/errorprone/matchers/Matchers.java;unhandled refactoring conflict;composite type;floss;error-prone
48;d017a5411de869929dd03efc6c952aa708a9bd2a;core/src/main/java/com/google/errorprone/matchers/IsSubtypeOf.java;unhandled refactoring conflict;composite type;floss;error-prone
49;e55275fc6df6b1b6b6e56a3c905da8dbea05d4df;core/src/main/java/com/google/errorprone/Scanner.java;unhandled refactoring conflict;none;not_floss;error-prone
50;e55275fc6df6b1b6b6e56a3c905da8dbea05d4df;core/src/main/java/com/google/errorprone/Scanner.java;unhandled refactoring conflict;change method declaration;not_floss;error-prone
51;f95b432f949ca794b9445058d5f5fa185142c7ff;core/src/main/java/com/google/errorprone/ErrorProneScanner.java;unhandled refactoring conflict;inline method;floss;error-prone
52;0e97a336019b2590a5a486cd4d0249a60db36eb7;core/src/main/java/com/google/errorprone/ErrorProneScanner.java;unhandled refactoring conflict;inline method;floss;error-prone
53;5070bb4801aaeb9f30d56222ccae5cc90d0aadef;realm-annotations-processor/src/main/java/io/realm/processor/RealmProxyClassGenerator.java;true positive;none;not_floss;error-prone
54;ab7c961572adab958edf4c5cf1f5371b72117300;src/main/java/junit/runner/Version.java;true positive;none;not_floss;junit4
55;3af61501750a27c8351463e7bb83ab3a9b5e4495;src/main/java/org/junit/runner/Description.java;true positive;change method declaration;not_floss;junit4
56;3af61501750a27c8351463e7bb83ab3a9b5e4495;src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java;true positive;rename field;not_floss;junit4
