id;commit_hash;file;heuristic;refactoring_type;is_floss;project
23;f18d98fc45f89d058ebbd2578e2c9e82cfedc722;storm-core/src/jvm/backtype/storm/messaging/netty/Context.java;true positive;none;not_floss;storm
24;6e5c35a8a4eecc72fe8bc9a76fa6da9edca9e3a6;storm-core/src/jvm/backtype/storm/Config.java;ordering conflict;none;not_floss;storm
25;d3c6a1b1e8d03297cdca95f9244d7c49a590e3fa;storm-core/src/jvm/backtype/storm/Config.java;ordering conflict;none;not_floss;storm
26;dc6254f1bfec6bb2a657fb618f93cecda23c16d8;javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/declarations/JavaParserSymbolDeclaration.java;ordering conflict;none;not_floss;javaparser
27;6687e7b034b803de2b407bf320e7d107e3b2b3b7;javaparser-core/src/main/java/com/github/javaparser/ast/stmt/BlockStmt.java;ordering conflict;none;not_floss;javaparser
28;6687e7b034b803de2b407bf320e7d107e3b2b3b7;javaparser-core/src/main/java/com/github/javaparser/ast/stmt/BlockStmt.java;ordering conflict;none;not_floss;javaparser
29;5bc7c9544f7fed784383ea0e38234d473ff6c94d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/ModifierVisitor.java;ordering conflict;none;not_floss;javaparser
30;5bc7c9544f7fed784383ea0e38234d473ff6c94d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/GenericListVisitorAdapter.java;formatting conflict;none;not_floss;javaparser
31;fc4af07a0809e462b759c4e361810a986333448d; javaparser-core/src/main/java/com/github/javaparser/metamodel/JavaParserMetaModel.java;unhandled refactoring conflict;rename field;floss;javaparser
32;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/VoidVisitorAdapter.java;unhandled refactoring conflict;change method declaration;not_floss;javaparser
33;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/NoCommentHashCodeVisitor.java;unhandled refactoring conflict;change method declaration;not_floss;javaparser
34;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/NoCommentEqualsVisitor.java;unhandled refactoring conflict;change method declaration;not_floss;javaparser
35;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/ModifierVisitor.java;unhandled refactoring conflict;change method declaration;floss;javaparser
36;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/HashCodeVisitor.java;unhandled refactoring conflict;change method declaration;not_floss;javaparser
37;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/EqualsVisitor.java;unhandled refactoring conflict;change method declaration;not_floss;javaparser
38;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/CloneVisitor.java;unhandled refactoring conflict;change method declaration;not_floss;javaparser
39;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/CloneVisitor.java;unhandled refactoring conflict;change method declaration;floss;javaparser
40;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/modules/ModuleRequiresDirective.java;unhandled refactoring conflict;change method declaration;floss;javaparser
